when,stage,step,total,alpha,beta,loss,rmse,best_alpha,best_beta,best_loss,best_rmse,violation_rate
2025-10-17T19:54:12,stage2,6,300,0.0,0.7500000000000003,0.640249,0.073044,0.0,0.5000000000000001,0.715401209486175,0.07721189510508161,0.000558
2025-10-17T19:54:19,stage2,7,300,0.0,0.8000000000000004,0.799074,0.081602,0.0,0.7500000000000003,0.6402487403890539,0.07304386469724054,0.0
2025-10-17T19:54:26,stage2,8,300,0.0,0.8500000000000004,0.856148,0.084466,0.0,0.7500000000000003,0.6402487403890539,0.07304386469724054,0.0
2025-10-17T19:54:32,stage2,9,300,0.0,0.9000000000000005,0.887304,0.08599,0.0,0.7500000000000003,0.6402487403890539,0.07304386469724054,8e-06
2025-10-17T19:54:39,stage2,10,300,0.0,0.9500000000000005,0.808305,0.082072,0.0,0.7500000000000003,0.6402487403890539,0.07304386469724054,0.0
2025-10-17T19:54:45,stage2,11,300,0.0,1.0000000000000004,0.824822,0.082907,0.0,0.7500000000000003,0.6402487403890539,0.07304386469724054,0.0
2025-10-17T19:54:52,stage2,12,300,0.0,1.0500000000000007,0.754146,0.079275,0.0,0.7500000000000003,0.6402487403890539,0.07304386469724054,0.000336
2025-10-17T19:54:59,stage2,13,300,0.0,1.1000000000000005,0.858917,0.084603,0.0,0.7500000000000003,0.6402487403890539,0.07304386469724054,0.0
2025-10-17T19:55:06,stage2,14,300,0.0,1.1500000000000008,0.875941,0.085437,0.0,0.7500000000000003,0.6402487403890539,0.07304386469724054,0.0
2025-10-17T19:55:12,stage2,15,300,0.0,1.2000000000000006,0.886588,0.085955,0.0,0.7500000000000003,0.6402487403890539,0.07304386469724054,0.0
2025-10-17T19:55:19,stage2,16,300,0.0,1.2500000000000009,0.871259,0.085208,0.0,0.7500000000000003,0.6402487403890539,0.07304386469724054,0.0
2025-10-17T19:55:26,stage2,17,300,0.0,1.3000000000000007,0.892309,0.086232,0.0,0.7500000000000003,0.6402487403890539,0.07304386469724054,0.0
2025-10-17T19:55:33,stage2,18,300,0.0,1.350000000000001,0.847369,0.084032,0.0,0.7500000000000003,0.6402487403890539,0.07304386469724054,0.0
2025-10-17T19:55:39,stage2,19,300,0.0,1.4000000000000008,0.854932,0.084406,0.0,0.7500000000000003,0.6402487403890539,0.07304386469724054,0.0
2025-10-17T19:55:46,stage2,20,300,0.0,1.450000000000001,0.857494,0.084533,0.0,0.7500000000000003,0.6402487403890539,0.07304386469724054,3e-06
2025-10-17T19:55:53,stage2,21,300,0.0,1.5000000000000009,0.873862,0.085336,0.0,0.7500000000000003,0.6402487403890539,0.07304386469724054,6e-06
2025-10-17T19:55:59,stage2,22,300,0.0,1.5500000000000012,0.868413,0.085069,0.0,0.7500000000000003,0.6402487403890539,0.07304386469724054,0.0
2025-10-17T19:56:06,stage2,23,300,0.0,1.600000000000001,0.873723,0.085329,0.0,0.7500000000000003,0.6402487403890539,0.07304386469724054,0.0
2025-10-17T19:56:13,stage2,24,300,0.0,1.6500000000000012,0.872128,0.085251,0.0,0.7500000000000003,0.6402487403890539,0.07304386469724054,0.0
2025-10-17T19:56:19,stage2,25,300,0.0,1.700000000000001,0.868539,0.085075,0.0,0.7500000000000003,0.6402487403890539,0.07304386469724054,0.0
2025-10-17T19:56:26,stage2,26,300,0.1,0.5000000000000001,0.67938,0.075243,0.0,0.7500000000000003,0.6402487403890539,0.07304386469724054,0.0
2025-10-17T19:56:33,stage2,27,300,0.1,0.5500000000000002,0.853517,0.084336,0.0,0.7500000000000003,0.6402487403890539,0.07304386469724054,0.0
2025-10-17T19:56:40,stage2,28,300,0.1,0.6000000000000002,0.87809,0.085542,0.0,0.7500000000000003,0.6402487403890539,0.07304386469724054,0.0
2025-10-17T19:56:46,stage2,29,300,0.1,0.6500000000000002,0.861489,0.084729,0.0,0.7500000000000003,0.6402487403890539,0.07304386469724054,0.0
2025-10-17T19:56:53,stage2,30,300,0.1,0.7000000000000003,0.867984,0.085048,0.0,0.7500000000000003,0.6402487403890539,0.07304386469724054,0.0
2025-10-17T19:57:00,stage2,31,300,0.1,0.7500000000000003,0.890485,0.086144,0.0,0.7500000000000003,0.6402487403890539,0.07304386469724054,0.0
2025-10-17T19:57:06,stage2,32,300,0.1,0.8000000000000004,0.867928,0.085045,0.0,0.7500000000000003,0.6402487403890539,0.07304386469724054,0.0
2025-10-17T19:57:13,stage2,33,300,0.1,0.8500000000000004,0.829092,0.083121,0.0,0.7500000000000003,0.6402487403890539,0.07304386469724054,0.0
2025-10-17T19:57:20,stage2,34,300,0.1,0.9000000000000005,0.854654,0.084393,0.0,0.7500000000000003,0.6402487403890539,0.07304386469724054,0.0
2025-10-17T19:57:28,stage2,35,300,0.1,0.9500000000000005,0.604345,0.070966,0.0,0.7500000000000003,0.6402487403890539,0.07304386469724054,0.0
2025-10-17T19:57:34,stage2,36,300,0.1,1.0000000000000004,0.880273,0.085648,0.1,0.9500000000000005,0.6043451529093109,0.07096625682377217,0.0
2025-10-17T19:57:41,stage2,37,300,0.1,1.0500000000000007,0.852572,0.08429,0.1,0.9500000000000005,0.6043451529093109,0.07096625682377217,0.0
